,tweets,tweet_long,id,created_date,source,likes,RTs,language,place,user_id,user_name,user_description,followers,followings,user_lists_member,user_total_favourites_count,user_statuses_count,user_created_account,user_location,user_lang
14,"RT @vox_es: 👫 ¡Qué equivocados están los que quieren enfrentar a hombres y mujeres!

➡ La #EspañaViva 🇪🇸 rompe con la huelga del feminismo…",139,1104079195741802499,2019-03-08 17:59:27,Twitter for iPad,0,5686,es,,701434786418655233,Giralda,"Española de Sevilla. Hija. Esposa. Madre y desde hace tres años, ascendida a Abuela.",603,589,5,63230,69852,2016-02-21 15:54:19,,es
15,"RT @hijademercurio_: ESTE 8 DE MARZO NO ME DIGAS FELIZ DÍA, NO SE FESTEJA NADA #8DEMARZO #8M #8demarzo2019 https://t.co/kBqL6nfJ92",130,1104079195624431616,2019-03-08 17:59:27,Twitter for Android,0,272,es,,995175069440716800,• Sol •,,731,52,6,12918,20569,2018-05-12 05:33:20,ᴍɪᴄʜᴇʟ ɴᴏʜᴇʀ﹣ʟᴜᴅᴏᴠɪᴄᴏ ᴅɪ sᴀɴᴛᴏ,es
16,"RT @LolitaAldea: Feliz #8M
#HuelgaFeminista8M
#InternationalWomensDay https://t.co/1THpqmqQ1V",93,1104079195552985089,2019-03-08 17:59:27,Twitter for Android,0,457,es,,448107170,Marosar,"Estudiante de BBAA. 
Ilustradora en proceso,
espero q os guste mi trabajo ✨

💁 Bienvenido a cosas varias😊

💜code geass
💜outlander
💜la caída de los reinos",284,246,4,8951,3414,2011-12-27 16:41:15,,es
17,"Rompieron todo, dólar a $43, ahora se tiran piedras...
#Viernes #8M https://t.co/aUV6y3VxB9",91,1104079195477606403,2019-03-08 17:59:27,TweetDeck,0,0,es,,181442512,J. R. LLANO,"PERIODISTA.SOCIOLOGIA DERECHO D FAMILIA.NACIONAL Y POPULAR,PUEDO DEBATIR O PUTEAR.SI ME SEGUIS LEE LAS CONTRAINDICACIONES EN EL PROSPECTO ADJUNTO.",2770,1417,62,222,138953,2010-08-22 05:57:03,"SAN JUSTO,LA MATANZA",es
18,RT @GaloCevallosM: Es fundamental reconocer la importancia de los medios de comunicación para informar y educar sobre las causas y efectos…,139,1104079195200577536,2019-03-08 17:59:27,Twitter for Android,0,4,es,,254209856,Vladimir Cárdenas,Comunicador Social.,248,750,6,1439,12182,2011-02-18 20:56:56,Indefinido,es
19,Necesitamos ver mujeres brillantes SIENDO brillantes 💪 #8M #InternationalWomensDay #FelizDiaDeLaMujer,101,1104079195196534785,2019-03-08 17:59:27,Twitter for Android,0,0,es,,278711817,Srta.Romero ♥,CR7♡ RealMadrid.⚽,564,281,16,16100,12631,2011-04-07 20:30:24,"INFANTES, CIUDAD REAL",es
20,DIRECTO | La huelga del #8M alcanza un seguimiento del 90% en la Universidad https://t.co/qKr6ONTZgA https://t.co/zmlXnFHXuf,124,1104079194378637312,2019-03-08 17:59:27,Hootsuite Inc.,0,0,es,,487528607,CORDÓPOLIS,El periódico digital de Córdoba,40707,148,469,633,87347,2012-02-09 13:18:26,CÓRDOBA (Spain),es
21,RT @MujeresRtve: Plató de la @LaMananaTVE . El programa  no se ha emitido hoy por la huelga #8M En RTVE #YoParo https://t.co/li7IEOXZXt,135,1104079193669861376,2019-03-08 17:59:27,Twitter for Android,0,61,es,,2782330551,auroraminguez,"De vuelta en Merkelandia...  Antes, en París con Hollande y Macron. Y antes, en Berlín con Merkel,Schröder y Kohl.Corresponsal RTVE",3561,862,100,4194,19985,2014-09-24 10:40:55,"Berlín, Alemania",es
22,"RT @francotorchia_: Me gustó mucho este especial del #8M que hicieron @CandelariaBotto y @YoFermina para @filonewsOK.

Incluye un ""raulómet…",140,1104079193606893568,2019-03-08 17:59:27,Twitter Web App,0,7,es,,556481585,Esteban Reines Araya,,135,227,0,793,26630,2012-04-18 02:31:18,,es
23,"RT @pictoline: Por los derechos conquistados.
Y los que faltan.

#DíaDeLaMujer #InternationalWomensDay #8M https://t.co/YIeBII11A2",130,1104079193430728704,2019-03-08 17:59:27,Twitter for Android,0,941,es,,1270442376,✿ฺLizzy✿💚,Uno y uno son mis ovarios,181,418,0,26866,21729,2013-03-15 19:00:49,"Campana, Argentina",es
24,"RT @Fotomovimiento: Esto no hay quien lo pare. Mujeres, ni un paso atrás! #Barcelona. #8M⁠ ⁠⁠ ⁠ #DiadelaDona #DiaDeLaMujer⁠ ⁠⁠ ⁠ #WomensDay…",140,1104079193384603648,2019-03-08 17:59:27,Twitter Web Client,0,4,es,,982733403979239425,FeminismoLógico,💜 Queremos #igualdad 💜,2821,2560,22,33468,28514,2018-04-07 21:34:36,,es
25,"RT @FrasesRockNacOk: EL DÍA QUE NOS LAS MATEN... ese día seran FELICES.

RESPETALA.
CUIDALA.
VALORALA.
NO LAS ACOSES.
 
#8M #NiUnaMenos",135,1104079193342726144,2019-03-08 17:59:27,Twitter for Android,0,2166,es,,917208551319310336,Caata!♡️,¡💙💛💙!,13,50,0,1830,23,2017-10-09 02:02:14,,es
26,"RT @pictoline: Por los derechos conquistados.
Y los que faltan.

#DíaDeLaMujer #InternationalWomensDay #8M https://t.co/YIeBII11A2",130,1104079193330073601,2019-03-08 17:59:27,Twitter for Android,0,941,es,,3425299726,Jose Cruz,"Latacungueño - Ing. Electrónico.
Hincha de BSC.",85,397,0,812,1529,2015-08-16 04:35:23,"Latacunga, Ecuador",es
27,Qué bonita Barcelona #8M https://t.co/kcX6bQKsfk,48,1104079192810049537,2019-03-08 17:59:27,Twitter for Android,0,0,es,,924033470208397312,Growing up,Tengo la llave maestra. Swiftie and human being,38,61,0,13458,6014,2017-10-27 22:02:01,,en
28,"RT @mariafoldwar: Por mí, por ti, por ella, 
por las que lucharon,
por las que lucharán,
por las que ya no pueden hacerlo. #8M https://t.co…",140,1104079192461848576,2019-03-08 17:59:26,Twitter for Android,0,66,es,,1022281347883311114,Laura,,60,283,0,872,3061,2018-07-26 00:44:01,"Córdoba, Argentina",es
29,"RT @jjcc_chile: #MireyaBaltra Diputada de la República, Primera Mujer Ministra del Trabajo y Previsión Social, Primera Ministra Mujer y Her…",140,1104079192407330816,2019-03-08 17:59:26,Twitter for Android,0,7,es,,120611920,Felipe Zavala Jara,Concejal de #EstaciónCentral /  Partido Comunista de Chile /  Ingeniero Ambiental de la UPLA /  Wanderino,5253,1899,38,7713,38304,2010-03-07 00:42:33,"Estación Central, Chile",es
30,"RT @E3_Team_EPSEVG: Estamos muy concienciados sobre la importancia de las mujeres dentro de la ingeniería, hoy #8m os presentamos a Lorena,…",140,1104079191971115008,2019-03-08 17:59:26,Twitter for Android,0,4,es,,509177732,Martineet,El viejo muere la chica vive. Me parece correcto. K1LLS0T,37,119,0,612,475,2012-02-29 20:10:53,BCN,ca
31,"RT @1alos22: tranquila mamá, hoy ninguna va sola por la calle #8M https://t.co/OfV9idMtRM",89,1104079191916638208,2019-03-08 17:59:26,Twitter for Android,0,8282,es,,2573993911,Cumpi•Ro•Rocha,"Aries ♈️
P18 💙",340,419,0,15263,4590,2014-06-18 02:34:27,Argentina,es
32,RT @M_OlgaSCordero: Hoy y siempre las #MujeresTransformandoMéxico demostramos la fuerza que tenemos y lo imprescindibles que somos para el…,139,1104079191828512770,2019-03-08 17:59:26,Twitter for Android,0,232,es,,61632291,Nora Toledano,#DiseñadoraGráfica,91,548,0,2520,2409,2009-07-30 23:35:40,Ciudad de México,es
33,"Mujer, Eres hermosa en toda tu dimension
Eres capaz de lograr lo que te propongas
Eres capaz de superar cualquier o… https://t.co/z8gDklj43G",140,1104079191098753024,2019-03-08 17:59:26,Twitter Web Client,0,0,es,,2840176306,Emiliano Ramírez Sánchez,"Estudio Psicología, Rockero, Activista y Luchador Social, Feminista, Amo La Cultura,La Política,La Música, Pasear y Tomar Fotografías.
#HijasDeLaMX #NiUnaMás ♏",1292,5156,4,9424,32805,2014-10-21 15:12:57,Ciudad de México,es
34,"RT @pictoline: Por los derechos conquistados.
Y los que faltan.

#DíaDeLaMujer #InternationalWomensDay #8M https://t.co/YIeBII11A2",130,1104079190779936768,2019-03-08 17:59:26,Twitter Web Client,0,941,es,,148090209,Nathacha  Bonilla,"Lic. Comunicación Social, Periodista Deportiva y Locutora. Instagram: natushalandia Facebook: https://t.co/XwVdJcOHG4…",639,1656,11,20924,28411,2010-05-25 20:29:40,"Caracas, Venezuela",es
35,RT @mariajocc14: En un día como hoy hablamos de luchar contra la injusticia y exigir respeto e igualdad a las mujeres. Uno de los grandes r…,140,1104079190146629633,2019-03-08 17:59:26,Twitter for iPhone,0,1,es,,345798910,Jose Dengo,100% Posible. 100% Pura Vida. “Democracy is not a spectator sport.”,4036,2905,63,57288,82904,2011-07-31 05:43:52,Costa Rica,en
36,RT @Directos_DM: Muchos hombres entre las miles de personas que participa en la manifestación del #8M en #Santander #Cantabria https://t.co…,140,1104079190146596866,2019-03-08 17:59:26,Twitter Web Client,0,1,es,,307596751,☆ Jose Gomez ☆,"de #Santander. Amante del futbol,100% culè. Musica. Series,Programas. Me encanta la historia. Amante de mi tierra,Cantabria.",528,776,11,12715,33622,2011-05-29 23:04:09,Santander,es
37,RT @vengamonjas: En el PP cuando les preguntan por el feminismo #8m https://t.co/mbB3BSJE2f,91,1104079189802663936,2019-03-08 17:59:26,Twitter for Android,0,53,es,,430990874,Dans: pa clase coñoo,"-Time waits for no one, so?",200,389,4,13192,19754,2011-12-07 20:00:55,Ciudad Saltadilla,es
38,RT @AdoAgueroEsgaib: El #8M conmemora la muerte de 129 trabajadoras quemadas en la fábrica Cotton tras declararse en huelga y exigir mejora…,140,1104079189760712706,2019-03-08 17:59:26,Twitter for Android,0,56,es,,2948513979,Melody Luraghi,"Ginecóloga y ecografista
Felizmente casada♡
Madre de tres varones♡♡♡
Hija del Rey de Reyes
Sufrida cerrista",208,546,3,3588,4471,2014-12-29 05:24:46,"Asuncion, Paraguay",es
39,"RT @Absolutexe: Cuando eres gilipollas y no te importa que el mundo entero lo sepa. El 
#8M se va a terminar convirtiendo en el Día de la M…",140,1104079189660049408,2019-03-08 17:59:26,Twitter for Android,0,427,es,,3086789497,Lumi,,2190,5097,1,7390,6496,2015-03-15 20:15:52,Avila - Gasteiz - SPAIN,es
40,"RT @Baileyanqui: Hoy, como todos los días, el mundo se llevará adelante por mujeres invisibilizadas. No me voy a olvidar de los privilegios…",140,1104079189643272200,2019-03-08 17:59:26,Twitter for Android,0,3,es,,333685281,Val,¿En que se parecen un cuervo y un escritorio? | Your unfriendly neightbor | Vieja de 90 años atrapada en un cuerpo de 22 | Hater | Irelia's bitch | TWD | FVet,483,75,12,36941,42281,2011-07-11 22:42:35,Grieta del invocador - Uruguay,es
41,"RT @JRVasconsellos: De nada le ha servido cumplir cabalmente su función docente, sin haber faltado jamás a clases, aun cuando debía moviliz…",140,1104079189307736064,2019-03-08 17:59:26,Twitter for Android,0,1,es,,1005330565,Eli Herrera Orrego🎀,"Abogada UNA - Economista UNA - Espec en Docencia Sup Universitaria UNA - 
Docente de Econ.Política Metodología de la Investigación Científi, Fac de Derecho UNA",313,358,1,3885,5226,2012-12-12 01:53:29,Paraguay,es
42,RT @InformaTVX: #CiudadMujer ayuda a centralizar los servicios y apoya a quienes se las han violentado sus derechos. Debería de haber más e…,140,1104079189228032000,2019-03-08 17:59:26,Twitter for Android,0,1,es,,2848840833,Julio Villagrán,,1334,1383,5,4701,19938,2014-10-28 21:35:29,,es
43,"Que este día nos recuerde que tenemos una lucha pendiente y que la vamos a ganar💪🏼 #8m 
Empezando por nosotras, a b… https://t.co/6ogKqotBjX",140,1104079188921933825,2019-03-08 17:59:26,Twitter for iPhone,0,0,es,,143644510,Camila Altamirano,,192,139,0,1057,3150,2010-05-14 01:24:35,,es
44,"No es un día de celebración con música y kalejira, no es un día de diversión, nos están matando, pero apoyemos a la… https://t.co/bdNDFplcid",140,1104079188733190145,2019-03-08 17:59:26,Twitter for Android,0,0,es,,971393839364739072,haize,🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈,35,330,0,91,126,2018-03-07 14:35:13,txantrea,es
45,RT @ns_manuel: Hoy voy a la manifestación acompañando a mi madre. No le gusta ir a una concentración y volverse sola. Esa es una de las muc…,140,1104079188376649729,2019-03-08 17:59:25,Twitter for Android,0,1,es,,622100444,Jakimuca💜(#TrifachitoNo),"Prefiero la justicia a la caridad, la izquierda a la derecha, la lucha a la sumisión.",2154,2097,41,21759,62450,2012-06-29 17:51:18,Vallekas (El Mundo),es
46,RT @soyingridbeck: Para muchos medios el #8M se reduce a historias inspiradoras de mujeres que lo lograron a pesar de los obstáculos. Para…,139,1104079188062097408,2019-03-08 17:59:25,Twitter for Android,0,2801,es,,716519456,Debi Blustein,Mujer bonita es la que lucha 💚,38,158,0,3752,70,2012-07-25 18:24:28,,es
47,"El centro de #Valencia totalmemte colapsado por la #HuelgaFeminista2019.
#8M 

✊🏽 https://t.co/ukDhRe45EO",105,1104079187965550594,2019-03-08 17:59:25,Twitter for Android,0,0,es,,435900181,SoLange*,"Amo el arte. A días poeta, otros activista, madre y feminista a tiempo completo. 
Mi sangre argentina y mi ❤ en Latinoamérica.


~Todo Pasa~",751,2287,16,3378,9079,2011-12-13 15:27:31,|Mediterráneo| #NOaLaUralita,es
48,"RT @pictoline: Por los derechos conquistados.
Y los que faltan.

#DíaDeLaMujer #InternationalWomensDay #8M https://t.co/YIeBII11A2",130,1104079187609075712,2019-03-08 17:59:25,Twitter Web Client,0,941,es,,134276578,Andrea Vallejo,instagram: andreavvc,1289,1369,5,5149,42811,2010-04-18 00:01:45,"Ciudad Autónoma de Buenos Aires, Argentina",es
49,"RT @publico_es: DIRECTO |  La Plaza del Pilar de Zaragoza, ahora.

#8M 

https://t.co/GtTQNQMt3z https://t.co/tfxNVs11fs",120,1104079187491590145,2019-03-08 17:59:25,Twitter for Android,0,68,es,,265592052,Mayte Su,,132,62,1,35990,12279,2011-03-13 20:42:29,,es
50,RT @nieveniobernalM: Un fracaso eh #8M https://t.co/zB93u19AAk,62,1104079187273486340,2019-03-08 17:59:25,Twitter for Android,0,373,es,,202176637,Ⓜ,"Simplemente tu @Atleti 🏧
Futura periodista 
 @marcmarquez93 @alexmarquez73 @AntoGriezmann
{93+73}#LS39ALWAYS ✊🏍💨
#NuncaDejesDeCreer 🔴⚪🔴",2048,2267,37,105516,162684,2010-10-13 13:31:35,"Vicente Calderon, Madrid ",es
51,"RT @pictoline: Por los derechos conquistados.
Y los que faltan.

#DíaDeLaMujer #InternationalWomensDay #8M https://t.co/YIeBII11A2",130,1104079187269337088,2019-03-08 17:59:25,Twitter for Android,0,941,es,,2821264973,Jαsmin,America Latina va a ser toda feminista💚,868,255,7,12297,48775,2014-10-10 14:33:48,"Mendoza, Argentina",es
52,"RT @aibarragamez: En Atocha todo desbordado y es el inicio de la manifestación. Una frase que me ha encantado: ""Intentásteis enterrarnos si…",140,1104079187084759040,2019-03-08 17:59:25,Twitter for Android,0,3,es,,87022377,LittleDesastre,'Y échale caña al vivir que son dos días y tres cafés',1054,2486,56,97756,113574,2009-11-02 20:38:46,Ciudad K,es
53,"RT @_Fibonacci13: Nicaragua, la valiente mujer pencona. #8M",59,1104079186841354241,2019-03-08 17:59:25,Twitter for Android,0,16,es,,1005877984279003136,Nicaraguita,,411,506,0,22872,15847,2018-06-10 18:22:54,,es
54,"RT @Politicida74: Veamos:

-Feministas aguantaron 4 AÑOS de femicidios, violaciones, acoso, abusos, discriminación, etc.

-Con una Presiden…",140,1104079186807812096,2019-03-08 17:59:25,Twitter Web Client,0,4,es,,1065794352,Nández 🐍🇨🇱,"HIJO DE CHILENO. Progres y rojos culiaos lean 1984.
#NoLeComproALosChinos
#ChileParaLosChilenos #RepublicanoMasterReis",1490,581,15,32820,26140,2013-01-06 14:10:01,El fin del mundo.,es
55,RT @DPLF_info: #8M #DiaInternacionalDeLaMujer ¿Qué pueden exigir las mujeres de los sistemas de justicia? 🙋‍♀️ https://t.co/sICZIlUZ2h,134,1104079186644385795,2019-03-08 17:59:25,Twitter for Android,0,8,es,,2899485717,Guadalupe Sorto,,49,833,0,1954,95,2014-11-30 18:03:35,,es
56,Todavía quedan personas q apoyan el colectivo de mujeres? Y le creen q lo hacen x el bien de las mujeres? #8M el fe… https://t.co/DnOgUNqEEK,140,1104079186313007111,2019-03-08 17:59:25,Twitter for Android,0,0,es,,271156848,☯,"6/2/18 💖 
 |17👑|Géminiana♊ | Acrobacias Aérea🙌| sigo por ellos😇|",1629,1903,3,8430,18528,2011-03-23 23:50:40,,es
57,En la Fundación trabajamos 63 personas de las cuales 40 somos trabajadoras mujeres. Hoy nuestro apoyo por la lucha… https://t.co/YDLDu43SdN,139,1104079186015281155,2019-03-08 17:59:25,Twitter for Android,0,0,es,,2242270248,Fundación Hemocentro,"Promovemos la donación de sangre, habitual y voluntaria. https://t.co/YLtd7MTuTj
https://t.co/v9bDYT1x5H",824,683,5,511,2225,2013-12-12 12:10:12,"Av. Díaz Vélez 3973, CABA",es
58,"RT @pictoline: Por los derechos conquistados.
Y los que faltan.

#DíaDeLaMujer #InternationalWomensDay #8M https://t.co/YIeBII11A2",130,1104079185981657090,2019-03-08 17:59:25,Twitter for Android,0,941,es,,1001942101561573376,Ja 🌠,📚 Psicología - UNC,32,173,0,8488,132,2018-05-30 21:43:07,,es
59,"Reivindicación de la ternura como arma de destrucción masiva.

#8M2019 #8M #DiaInternacionalDeLasMujeres… https://t.co/GeU0p7H6SO",129,1104079185641984001,2019-03-08 17:59:25,Twitter for Android,0,0,es,,934551116,Paula Nogales R. 🇮🇨🎗️,"Too old for this shit, man. Si quieres, búscame en google. #Asperger #autismo #poesía #literatura #feminismo #gender #Canarias -what a rebumbio!",1239,457,140,73758,100700,2012-11-08 13:49:11,Las Palmas de Gran Canaria.,es
60,"Camino a la mani del #8M 
Y que por qué salimos. https://t.co/cxRuHzrXBo",72,1104079184975007750,2019-03-08 17:59:25,Twitter for Android,0,0,es,,95892354,♀ Hermana yo te creo ♀,"No soy una, somos cuatro.


















































Hija de Mercedes.",828,1764,37,6704,21680,2009-12-10 12:39:30,,es
61,RT @eldiegoalonso: Me encuentro almorzando en la plaza Sotomayor  y resulta que @ahoranoticiasAN nos informa que hay graves incidentes debi…,140,1104079184266252289,2019-03-08 17:59:24,Twitter for iPhone,0,87,es,,92077916,Val :3,"ツ. Alza tu cerveza, brinda por la libertad. 🍻. 🏳️‍🌈",231,253,5,1157,55572,2009-11-23 18:15:02,"SCL, CL.",es
62,"RT @pictoline: Por los derechos conquistados.
Y los que faltan.

#DíaDeLaMujer #InternationalWomensDay #8M https://t.co/YIeBII11A2",130,1104079183087632385,2019-03-08 17:59:24,Twitter for iPhone,0,941,es,,845350926516916225,🌺mamihlapinatapai 🌺,It's HISPANIC not SPANISH // LGBT(Q)A+🏳️‍🌈// intersectional feminist 🌸,92,97,0,14571,13130,2017-03-24 19:05:41,"Atlanta, GA",en
63,"RT @pictoline: Por los derechos conquistados.
Y los que faltan.

#DíaDeLaMujer #InternationalWomensDay #8M https://t.co/YIeBII11A2",130,1104079183016271873,2019-03-08 17:59:24,Twitter for Android,0,941,es,,1606493641,M A R🌑,La vida es color A Z U L.,217,362,0,50508,4868,2013-07-19 18:09:37,Perú,es
64,"RT @pictoline: Por los derechos conquistados.
Y los que faltan.

#DíaDeLaMujer #InternationalWomensDay #8M https://t.co/YIeBII11A2",130,1104079182777200640,2019-03-08 17:59:24,Twitter for Android,0,941,es,,823066318668697600,🌕 ɐɯuɐnɾ 🌑,"Eché raíces en tierra salitrosa,
y ahora la quiero ver florecer.",0,2,0,34,16,2017-01-22 07:14:37,"Nezahualcóyotl, México",es
65,"RT @C5N: Masiva movilización en España por el Día Internacional de la Mujer #8m.  ""No estamos todas, faltan las asesinadas"", escribieron en…",140,1104079182634590208,2019-03-08 17:59:24,Twitter for iPhone,0,38,es,,3583434695,Cesar Daniel Vega,Soy Libertario y técnico de PC y REDES POR AMOR y HOBBY!! Estudiante de Derecho en UNC. Y Fan de Javier Milei!!!,53,77,2,2412,1497,2015-09-08 03:13:52,"Capital - Córdoba, Argentina",es
66,"RT @ManuelaCarmena: Hoy miles de mujeres decimos que queremos un futuro igualitario, y que este solo podrá ser feminista. Nos une el conven…",140,1104079182521282560,2019-03-08 17:59:24,Twitter for iPhone,0,533,es,,1065697765106352128,Más Retiro,"Cuenta oficial de Más Madrid en Retiro. Queremos un distrito Más Amable, Más solidario... Más Retiro.😉 Comenzamos a crear plataforma camino a 2019",155,22,3,174,427,2018-11-22 20:05:21,,en
67,RT @CARiverPlate: Somos mujeres. Somos River. #DíaInternacionalDeLaMujer #8M https://t.co/Z6NY16NPwx,100,1104079182055788544,2019-03-08 17:59:24,Twitter for Android,0,6,es,,928819871277813760,Silvia Gabriela,,57,81,0,32205,26611,2017-11-10 03:01:28,,es
68,"Si eso está pasando en Valparaiso , roguemos que no pase nada hoy en Santiago #8M https://t.co/8obLVMlchu",105,1104079181699313666,2019-03-08 17:59:24,Twitter Web Client,0,0,es,,2786249543,Ceci,☺️Soy parte de la Historia de Chile.  Nieta de Inmigrante,3900,3166,29,108855,111221,2014-09-26 20:23:56,Chile,es
