tweets|polarity|tweet_long|id|created_date|source|likes|RTs|language|place|user_id|user_name|user_description|followers|followings|user_lists_member|user_total_favourites_count|user_statuses_count|user_created_account|user_location|user_lang
sanchez pone el de espana como «ejemplo en todo el mundo»|1|85,0|1,1043448584356987e+18|2019-03-09 11:35:06|botize nueva|0,0|0,0|es||8,677798389243412e+17|𝕃𝕖𝕩𝕋𝕣𝕖𝕤𝔸𝕓𝕠𝕘𝕒𝕕𝕠𝕤|"𝕄𝕒𝕣𝕗 Fundador #𝕃𝕖𝕩𝕋𝕣𝕖𝕤𝔸𝕓𝕠𝕘𝕒𝕕𝕠𝕤 | Cᴏɴsᴜʟᴛᴏʀ ᴅᴇ Esᴛʀᴀᴛᴇɢɪᴀ ᴇ Iɴɴᴏᴠᴀᴄɪᴏ́ɴ ɪɴғʟᴜᴇɴᴄᴇʀ | Rᴇʟᴀᴄɪᴏɴᴇs Iɴsᴛɪᴛᴜᴄɪᴏɴᴀʟᴇs | Aʜᴏʀᴀ ᴛʀᴀʙᴀᴊᴏ ᴇɴ ɴᴜᴇᴠᴀs ɪᴅᴇᴀs |"|22234,0|8647,0|39,0|920,0|883810,0|2017-05-25 16:30:10|🅔🅤🅡🅞🅟🅔 - 🅢🅟🅐🅘🅝|es
estamos todes loques 😂|-1|77,0|1,1041751000337244e+18|2019-03-09 00:20:33|Twitter for Android|0,0|23,0|es||635539793,0|Hugui 🖤|🏴🏳|164,0|494,0|3,0|382,0|3461,0|2012-07-14 17:48:30|Para Uno|es
sin palabras|-1|60,0|1,1043450716823798e+18|2019-03-09 11:35:57|Twitter for iPhone|0,0|115,0|es||260000521,0|Magdalena Jiménez|Cazamoda está conformado por un equipo afiatado de profesionales dedicado exclusivamente al área de la producción de modas, desfiles y vestuario.|4428,0|449,0|12,0|920,0|5031,0|2011-03-03 00:56:41|Chile|es
abrazo en 🇨🇱|1|56,0|1,1043450677147238e+18|2019-03-09 11:35:56|Facebook|0,0|0,0|es||214623166,0|Gustavo Caputo 🏳️‍🌈|Terapeuta acompaño procesos evolutivos de conciencia, me curé un cancer con aceite de cannabis + agua de mar ☉ soy feliz ☎ +5491148893262|964,0|122,0|33,0|17125,0|43937,0|2010-11-11 21:06:53|Buenos Aires 🇦🇷 Argentina|es
no se preocupe usted no tiene ni la mas infima posibilidad de que alguien la viole|-1|128,0|1,1043450657014252e+18|2019-03-09 11:35:56|Twitter for Android|0,0|16,0|es||261558004,0|Fernando Diez Perez✳️|No ahogaré el sentido común en pos a lo políticamente correcto. Cuando era bebé no me ojeé.|256,0|632,0|3,0|3121,0|18486,0|2011-03-06 05:46:22|Asuncion, Paraguay|es
orgullo de ciudad madrid|1|72,0|1,1041165104051569e+18|2019-03-08 20:27:44|Twitter for iPhone|0,0|3,0|es||2286430166,0|Sikariona💸|Primera y Única.💎|380,0|169,0|15,0|4273,0|8135,0|2014-01-11 10:36:41|Paradise Madrid⚡️|es
por que ningunha rapaza tena que pasar por unha relacion toxica|-1|112,0|1,104089496839168e+18|2019-03-08 18:40:23|Twitter for Android|0,0|83,0|es||7,301043828434002e+17|𝐿𝑙𝑎𝑟𝑎.|xviii. ♀ ⋮ the only straight i am is a straight-up bitch. ⋮ lenguas modernas. 🕊|216,0|58,0|2,0|19509,0|28755,0|2016-05-10 18:37:04|en la puta parra.|en
retratos 💜|0|55,0|1,104155263446274e+18|2019-03-08 23:01:43|Twitter for iPhone|0,0|276,0|es||1119584803,0|Angela Curiel||782,0|1179,0|7,0|1568,0|14057,0|2013-01-25 15:24:48|Sevilla, España|es
marta pombo seguidores de los cuales la mayoria son chicas jovenes y cuelga esto afirmando que jamas sera feminista|-1|||||||||||||||||||
la alameda de le quedo chica a las mujeres chilenas|1|107,0|1,1041730037877228e+18|2019-03-09 00:12:13|Twitter for Android|0,0|42,0|es||1615874689,0|Darío Platero Rivera|IngenieroCivilMecánico Mi papá es recolector d Basura Mi mamá no fue al cole pero tiene su pyme. Soy lo q soy lo q tengo q ser Voy adonde voy sin tener q perder|1996,0|297,0|31,0|5819,0|114183,0|2013-07-23 18:36:21|Antofagasta, Chile|es
sinceramente si vuelvo al es porque vamos a luchar todas no a bailar y a beber que dais puta verguenza|-1|109,0|1,1043450312662344e+18|2019-03-09 11:35:47|Twitter for Android|0,0|0,0|es||1324682515,0|harry postres|tengo sueño, da igual cuando leas esto|265,0|181,0|6,0|31263,0|22957,0|2013-04-03 14:07:29||es
mas datos del porque marchamos|0|97,0|1,1043450170349158e+18|2019-03-09 11:35:44|Twitter for Android|0,0|19,0|es||1,0120795843455017e+18|Pedro Morales S.Yoyoyo|Dibujante tecno-mecanico, mecanico de motores a combustion, ex telegrafista, adm. de bodegas material electromecanico, buena onda, optimista 100%.|100,0|64,0|0,0|36,0|30222,0|2018-06-27 21:05:51||es
un grupo de periodistas uruguayas reclamamos igualdad como base pero hay mas 👇🏽|0|131,0|1,1043450158269481e+18|2019-03-09 11:35:44|Twitter for Android|0,0|10,0|es||1516399970,0|Alejandro Giménez|Docente, historiador, comunicador, gestor cultural.|302,0|829,0|1,0|127,0|566,0|2013-06-14 13:06:55||es
esto es increible somos increibles ♀|1|86,0|1,1041012848844308e+18|2019-03-08 19:27:14|Twitter for Android|0,0|6,0|es||2872336919,0|Iker Casillas ❤|Rmcf ⚽⚽💜|198,0|297,0|1,0|1782,0|3558,0|2014-11-11 14:38:19|Santiago Bernabeu|es
luego direis que somos o  LOL|1|||||||||||||||||||
unha ducia de mulleres galegas das que os libros de historia deberian falar mais|0|126,0|1,1042945391650775e+18|2019-03-09 08:15:09|Twitter for iPhone|0,0|28,0|es||239951850,0|José Luis Louzán|Es difícil hacer que un hombre entienda algo cuando su salario depende de que no lo entienda. - Upton Sinclair|883,0|208,0|40,0|13837,0|67380,0|2011-01-18 20:33:52|Cee, A Coruña, Galicia|es
hoy y todos los dias|0|116,0|1,1040797132770017e+18|2019-03-08 18:01:31|Twitter Web App|0,0|216,0|es||345762929,0|ana codina|Selección Argentina de Tenis de Mesa. Medallista en Campeonatos Sudamericanos,Latinoamericanos, Panamericanos, World Tour y en Juegos ODESUR. Olimpia de Plata ♥|450,0|435,0|4,0|255,0|2504,0|2011-07-31 03:59:27|resistencia, chaco|es
ser feminista sentido igualitario ser justo sentido comun ser o no ser|-1|119,0|1,1043449917264814e+18|2019-03-09 11:35:38|Twitter Web Client|0,0|1307,0|es||1855788810,0|Paula;)|A.A.Claret 'Sin pausa pero sin prisa' ¿Y si traducimos al mundo? No sin mi rebequita. 'Sevilla en primavera.'|211,0|438,0|2,0|3518,0|3878,0|2013-09-12 00:29:36|Punta Arenas (Chile)|es
somos feministas somos imparables|1|85,0|1,1041551258562478e+18|2019-03-08 23:01:10|Twitter for Android|0,0|58,0|es||402017082,0|Sara Diaz Hernández|Feminista, Pta. Asoc.Nosotras Mismas, del Fórum de Política Feminista, del 7N, de CCOO, del Foro Local, aficionada a la literatura, al cine y al basket femenino|1280,0|883,0|64,0|12951,0|31784,0|2011-10-31 12:35:59||es
la extrana nocion de equilibrio de genero de en el|-1|129,0|1,1041757393840169e+18|2019-03-09 00:23:05|Twitter Web Client|0,0|3,0|es||139564882,0|Hernan Canorea|Venezolano de pura cepa, Compañero de vida de mi amada @JasminCasanova. Periodista y Militante de esta Revolución! Radicalmente CHAVISTA y Magallanerisimo!|54538,0|919,0|166,0|61,0|32127,0|2010-05-03 01:15:57|caracas|es
no somos histericas somos historicas 💜 luchamos por lo que es nuestro|1|92,0|1,1043449896629576e+18|2019-03-09 11:35:37|Twitter for iPhone|0,0|1,0|es||555429048,0|◀▶|Finales que merecen una historia. III.|197,0|166,0|1,0|1408,0|23573,0|2012-04-16 19:01:21|Energúmenas.|es
solo puedo sentir orgullo|1|74,0|1,1043449891344753e+18|2019-03-09 11:35:37|Twitter for iPhone|0,0|8,0|es||9,087927432620851e+17|confused the house down|water off a ducks back|69,0|277,0|0,0|11042,0|5283,0|2017-09-15 20:40:49|🏳️‍🌈♀️|es
en el se hizo sentir vivas libres unidas y gobernando nos queremos|1|137,0|1,104344978325717e+18|2019-03-09 11:35:35|Twitter for Android|0,0|14,0|es||175185277,0|Fabiana Escobar|Lic en Sistemas. Hincha de River. Peronista, Cristinista y Orgullosa mamá. La avaricia obnubila la inteligencia.|297,0|481,0|10,0|3041,0|20077,0|2010-08-05 22:50:11|Mar del Plata, Argentina|es
por un mundo feminista|0|50,0|1,104344970775937e+18|2019-03-09 11:35:33|Twitter for Android|0,0|0,0|es||1541633706,0|Sara Fergut7|Actress and Screenwriter. -Teatro-TV-Cine #THOSAWARDS|426,0|351,0|16,0|7913,0|14025,0|2013-06-23 19:11:54|9.364,06 km OhCaptainMyCaptain|es
soy el unico que le el titular del abc del asi ixiti de pirticipicin ni di inin ninini|0|||||||||||||||||||
madrid ahora sera el feminismo|0|111,0|1,1040976330423378e+18|2019-03-08 19:12:43|Twitter Web Client|0,0|8,0|es||3331964759,0|valentina|vamos a mirarnos más|88,0|233,0|0,0|827,0|2796,0|2015-06-18 00:19:50||es
que increible se siente haber sido parte de esta marcha tan linda e historica 💪🏻💜💚|1|106,0|1,1043451745729618e+18|2019-03-09 11:36:22|Twitter for iPhone|0,0|0,0|es||1280426666,0|Sun||261,0|213,0|0,0|4514,0|11327,0|2013-03-19 13:26:24||es
por muchas mas luchas compartidas|1|78,0|1,1043451657481503e+18|2019-03-09 11:36:19|Twitter for Android|0,0|0,0|es||979251774,0|AV Barrio San José|"En constante lucha por un barrio para su gente. Ventura Rodríguez 12-16 bajos. [asociacion@avvsanjose.org | 976276437]"|1709,0|467,0|41,0|675,0|2615,0|2012-11-29 22:12:50|Zaragoza, Aragón|es
que pena continua la polemica sobre el var|-1|88,0|1,1043451652952228e+18|2019-03-09 11:36:19|Twitter for iPhone|0,0|21,0|es||847221278,0|Pablo||1206,0|455,0|4,0|2343,0|4554,0|2012-09-26 11:22:57||es
esta espana si que es para estar orgulloso de ella|1|113,0|1,1043451637768684e+18|2019-03-09 11:36:19|Twitter for Android|0,0|2,0|es||2841491097,0|Beti Paz|Orgullosa de existir. Seguiré alzando mi voz, agitando mis brazos, hasta que seáis capaces de verme. Nunca dije que sería fácil, sólo dije que valdría la pena|126,0|501,0|12,0|1415,0|2954,0|2014-10-22 20:42:00|Aquimismo|es
os da tanto miedo el feminismo porque pensais que vamos a hacer con vosotros lo mismo que habeis hecho con nosotras|-1|138,0|1,1040970036828406e+18|2019-03-08 19:10:13|Twitter for Android|0,0|19,0|es||1,0773217455882568e+18|Andrea|thanks, it was the trauma🌼|35,0|47,0|0,0|500,0|34,0|2018-12-24 21:54:54|Ciudad Real, España|es
en lucha contra el machismo el fascismo y el capitalismo|-1|121,0|1,1043026597193155e+18|2019-03-09 08:47:25|Twitter for Android|0,0|3,0|es||1,0617280793311642e+18|Marian Barrera|Pedagoga y sexóloga. Agente de igualdad en Fundación Anas. Feminista y activista.|33,0|196,0|0,0|105,0|71,0|2018-11-11 21:11:14|Mérida, España|es
luego que por que nos molesta la bandera|-1|82,0|1,1043451581396951e+18|2019-03-09 11:36:18|Twitter for Android|0,0|8,0|es||17902392,0|Esther|Trabajadora Social en construcción.  Creo que la prisa mata así que he venido a Madrid a morir y a echar de menos el mar.|322,0|354,0|7,0|1503,0|10915,0|2008-12-05 17:24:49|Madrid, Asturies.|es
abolicion de la prostitucion en barcelona el burdel de europa|-1|138,0|1,1043451580139356e+18|2019-03-09 11:36:18|Mobile Web (M2)|0,0|38,0|es||1,0906476474746716e+18|maria dolores gonzalez marcos|nada|13,0|52,0|0,0|2730,0|3302,0|2019-01-30 16:27:17||en
pues yo creo que el lo han prostituido los partidos politicos todos ya no siento que me represente 😢|-1|||||||||||||||||||
amelia b edwards una mujer pionera en la egiptologia htps t co|1|||||||||||||||||||
aqui siguen y aqui vienen|0|70,0|1,1041746904305213e+18|2019-03-09 00:18:55|Twitter for Android|0,0|1,0|es||1,0820965163895767e+18|patttt🕊|para prosperar hay que ser libre|225,0|179,0|0,0|1016,0|4286,0|2019-01-07 02:08:08|pamplona|es
manifestacion del por gran via granada|0|||||||||||||||||||
un hombre ofendido cuidado anda suelto|-1|92,0|1,104345133460394e+18|2019-03-09 11:36:12|Twitter for iPad|0,0|0,0|es||748800931,0|Raquel 🌸|Feminista, feminista, lectora y bióloga, pero sólo de plantas|169,0|573,0|3,0|1670,0|1518,0|2012-08-10 06:50:43||es
me pasaron este video por whats y me encanto ❤ 👏|1|117,0|1,1040798133069292e+18|2019-03-08 18:01:54|Twitter for Android|0,0|583,0|es||4115266108,0|Nahuel 🇸🇪|♓piscis ♾ 19 👻 nahueldom|445,0|334,0|3,0|44672,0|39146,0|2015-11-04 22:50:17|Resistencia Chaco|es
seguimos completando nuestra fotogaleria del esta siendo impresionante el en imagenes|1|133,0|1,1042987203577651e+18|2019-03-09 08:31:46|Twitter for Android|0,0|135,0|es||1303884583,0|Antonio Bermejo 🇪🇺🛰️🔬⚗️⚙️|Anarcotabernario del PVT CJ (partido del vino tinto con jamón) Abadés y ciudadano del mundo El que no quiera que no mire, pero que no complique|714,0|926,0|62,0|63998,0|105092,0|2013-03-26 12:38:45|Planeta tierra 40°26′ N 3°41′|es
las fotos de la gran manifestacion del el en salamanca|1|137,0|1,1043451131055227e+18|2019-03-09 11:36:07|Twitter for Android|0,0|3,0|es||1586234971,0|COTSSalamanca-Zamora|Twitter Oficial del Colegio de Trabajo Social de Salamanca Zamora. Ahora en el BARRIO OESTE C/ Papín, Nº22 37007 Salamanca|703,0|525,0|24,0|58,0|823,0|2013-07-11 16:08:42|Salamanca|es
madrid orgullo es poco|1|118,0|1,104345333612589e+18|2019-03-09 11:36:59|Twitter for iPhone|0,0|2,0|es||2945620977,0|paulagarz|aquí escribo @maspaulagarz|151,0|82,0|1,0|19410,0|6892,0|2014-12-28 11:18:42|Tui, Galicia|es
nos estan matando|-1|59,0|1,1041732736659784e+18|2019-03-09 00:13:17|Twitter for iPhone|0,0|0,0|es||215471693,0|Victoria💚|Fina como ceja de turra. #AbortoLegalSeguroYGratuitoYA 💚|747,0|488,0|7,0|17601,0|45481,0|2010-11-14 01:25:30||es
prefiero estar con mi hija en el parque que compartiendo manifestacion con esta gente|-1|134,0|1,1040973806669537e+18|2019-03-08 19:11:43|Twitter for iPhone|0,0|8,0|es||492575933,0|Pepe Guillén Parra|Teniente de Alcalde de Modernización y Desarrollo Urbano del @AytoMurcia y funcionario de la @UMU “Ensalzar y Amar lo Antiguo y lo Nuevo”|2957,0|725,0|41,0|5015,0|7111,0|2012-02-14 21:46:02|Murcia, España|es
hoy temblo el gobierno pinera se esta ganando un terremoto 😂|-1|110,0|1,1043008339136676e+18|2019-03-09 08:40:10|Twitter for iPhone|0,0|59,0|es||255064043,0|Roberto Garate|la vida cambio !!! siempre he visto la vida simple, ahora con el diagnóstico, creo que aún es más simple, solo necesito salud.|150,0|415,0|0,0|4177,0|6662,0|2011-02-20 16:03:53|chile|es
en resumen no somos histericas somos historicas lo lei ayer en una pancarta y se me puso la piel de gallina|1|133,0|1,1043452958680392e+18|2019-03-09 11:36:50|Twitter for iPhone|0,0|6,0|es||413141015,0|Claudia M.|Dramática y un desastre. “Me metí en la boca del lobo, pero es que no quería otra.” @sarabuho Educación Infantil ULe📚👩🏼‍🏫. 🌹❤️|443,0|308,0|18,0|41989,0|57970,0|2011-11-15 14:45:18|León, Castilla y León|es
proud 💪🏽💜♀ a ningun hombre consiento que dicte mi sentencia|1|||||||||||||||||||
ayer me entere de una cosa y me parece importante difundir madrid|0|85,0|1,104345278033875e+18|2019-03-09 11:36:46|Twitter for Android|0,0|10,0|es||1650813266,0|☞patricia☜|ಠ_ಠ|245,0|305,0|0,0|1616,0|4332,0|2013-08-06 17:24:12|Madrid|es
se tiene que notar a la hora de votar|0|57,0|1,1041732371252019e+18|2019-03-09 00:13:08|Twitter for Android|0,0|3,0|es||547014212,0|cel|so, so you think you can tell heaven from hell, blue skies from pain. GRL🌹PWR ✊♀️|377,0|344,0|1,0|2078,0|10378,0|2012-04-06 18:33:38|Madrid|es
oye pero que somos lindas por la cresta madre ❤🥰 las re quiero en las condes santiago de chile|1|128,0|1,1043452682024223e+18|2019-03-09 11:36:44|Instagram|0,0|0,0|es|Place(_api=<tweepy.api.API object at 0x0000020710F7C7B8>, id='00c4b64e7affea25', url='https://api.twitter.com/1.1/geo/id/00c4b64e7affea25.json', place_type='city', name='Las Condes', full_name='Las Condes, Chile', country_code='CL', country='Chile', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000020710F7C7B8>, type='Polygon', coordinates=[[[-70.6086941, -33.4861818], [-70.4291408, -33.4861818], [-70.4291408, -33.364619], [-70.6086941, -33.364619]]]), attributes={})|290254907,0|Carolina LaraGatos🐈🐈🐈🕉️|#Mamá 👦🏻👧🏻👧🏻 #yogalover 🧘🏻 #catlover 🐈 #doglover 🐕 Fin del comunicado.|2484,0|2457,0|28,0|17034,0|50210,0|2011-04-30 00:22:44|Las Condes, Chile 🇨🇱|es
que siga la lucha💜|0|66,0|1,1043452648176108e+18|2019-03-09 11:36:43|Twitter for Android|0,0|2,0|es||1025055943,0|Cris|And it's hard to dance with a devil on your back @julitamr ♥️|175,0|91,0|0,0|2033,0|2775,0|2012-12-20 21:19:07||es
pancartas de madrid|0|93,0|1,1043452589246136e+18|2019-03-09 11:36:42|Twitter for Android|0,0|0,0|es||466645530,0|𝐿 𝑒 𝑦 𝑟 𝑟|• mitad mía, mitad del cine // indierocker •  📸 https://t.co/05wFj0O60u|620,0|451,0|5,0|7050,0|13617,0|2012-01-17 16:50:11|City of Stars.|es
ser policia verguenza me daria|-1|102,0|1,1040813463125033e+18|2019-03-08 18:08:00|Twitter for Android|0,0|138,0|es||9,846892861245727e+17|Ander Rezola Gonzalez|Donostiarra Vive y deja vivir😝😝😝 Realista de los pies a la cabeza|136,0|701,0|0,0|5350,0|3001,0|2018-04-13 07:06:35|San Sebastián, España|es
la espana que si me representa|1|76,0|1,1042991640185856e+18|2019-03-09 08:33:32|Twitter for Android|0,0|21,0|es||290046194,0|Charmed One|I will be rising from the ground like a skyscraper. / Demi Lovato ♡ Malú ♡ LOVG ♡ Patricia Balmes/ Charmed... ♡/ Morgader ;)|461,0|818,0|3,0|2765,0|10200,0|2011-04-29 17:10:11|Arendelle.|es
mi patria es el feminismo zaragoza|1|81,0|1,1041752205486653e+18|2019-03-09 00:21:01|Twitter for iPhone|0,0|1,0|es||426874834,0|Guille|Hay cosas encerradas en los muros que, si salieran de pronto a la calle y gritaran, llenarían el mundo.|713,0|1528,0|4,0|7166,0|8500,0|2011-12-02 20:25:42|Ejea de los Caballeros, Aragón|es
porque no felicitar a las mujeres el de marzo|1|94,0|1,1043452316071526e+18|2019-03-09 11:36:35|Twitter for Android|0,0|1,0|es||8,420398589064479e+17|zenon Calani Cosso||32,0|120,0|1,0|1517,0|1953,0|2017-03-15 15:48:41||es
y prefiero que el seamos gatos a que vengan miles de personas disfrazadas a montar una fiesta|-1|99,0|1,1043452308940882e+18|2019-03-09 11:36:35|Twitter for Android|0,0|0,0|es||1324682515,0|harry postres|tengo sueño, da igual cuando leas esto|265,0|181,0|6,0|31264,0|22958,0|2013-04-03 14:07:29||es
la raiz de las cosas|0|87,0|1,1040911743049933e+18|2019-03-08 18:47:03|Twitter for iPhone|0,0|77,0|es||9,439273856484352e+17|Ciel Phantomhive|JEJE PERO QUE PASA CHAVAL TODO BIEN, TODO CORRECTO Y YO QUE ME ALEGRO!!! Ven tomate un zumito y disfruta eres bienvenid@ y sigueme si quieres. UwU bai.|15,0|186,0|0,0|820,0|412,0|2017-12-21 19:33:20|Everywere because i am yuma.|es
♀galiza|0|55,0|1,1041557900956017e+18|2019-03-08 23:03:49|Twitter for Android|0,0|22,0|es||2497861801,0|Antonio Sánchez||188,0|402,0|1,0|10671,0|6947,0|2014-05-16 06:13:58|GUITIRIZ|es
aqui os dejo el video de spanish revolution del ano pasado el mujeres cantando la version feminista del bella ciao |1|||||||||||||||||||
